step,train_loss,fit_val_loss,fit_train_loss,forget_val_loss,lr
0,nan,0.165660,0.150028,0.019509,0.000200
10,0.085170,0.061770,0.050247,0.036989,0.000195
20,0.053189,0.035567,0.044949,0.033145,0.000182
30,0.042264,0.044766,0.032708,0.033124,0.000161
40,0.037039,0.031828,0.026853,0.031881,0.000134
50,0.034906,0.028709,0.026306,0.035387,0.000105
60,0.032074,0.026206,0.028762,0.031094,0.000076
70,0.028236,0.027054,0.026807,0.032717,0.000049
80,0.032998,0.032813,0.024848,0.032741,0.000028
90,0.033756,0.025149,0.026283,0.030785,0.000015
100,0.029826,0.028963,0.026252,0.031130,0.000010
