iter,trained_ep,eval_ep,loss,baseline,delta_pct,added_at_iter,age_iters
1,247,247,0.049463,0.324057,-84.736160,1,0
1,247,forget,0.038526,0.020667,86.418517,0,-1
2,76,247,0.128586,0.324057,-60.319999,1,1
2,76,76,0.072180,0.297374,-75.727598,2,0
2,76,forget,0.046837,0.020667,126.628389,0,-1
3,174,247,0.120709,0.324057,-62.750778,1,2
3,174,76,0.136741,0.297374,-54.017087,2,1
3,174,174,0.044181,0.255243,-82.690614,3,0
3,174,forget,0.041334,0.020667,100.004251,0,-1
4,235,247,0.114102,0.324057,-64.789368,1,3
4,235,76,0.175531,0.297374,-40.972921,2,2
4,235,174,0.101169,0.255243,-60.363605,3,1
4,235,235,0.038495,0.251608,-84.700265,4,0
4,235,forget,0.035093,0.020667,69.804919,0,-1
5,245,247,0.120573,0.324057,-62.792624,1,4
5,245,76,0.165999,0.297374,-44.178369,2,3
5,245,174,0.097027,0.255243,-61.986645,3,2
5,245,235,0.100604,0.251608,-60.015366,4,1
5,245,245,0.074364,0.246055,-69.777586,5,0
5,245,forget,0.041457,0.020667,100.597106,0,-1
6,141,247,0.106546,0.324057,-67.121292,1,5
6,141,76,0.163858,0.297374,-44.898213,2,4
6,141,174,0.081509,0.255243,-68.066146,3,3
6,141,235,0.055522,0.251608,-77.933102,4,2
6,141,245,0.122305,0.246055,-50.293644,5,1
6,141,141,0.052933,0.239748,-77.921613,6,0
6,141,forget,0.034866,0.020667,68.704042,0,-1
7,147,247,0.112043,0.324057,-65.424849,1,6
7,147,76,0.182346,0.297374,-38.681254,2,5
7,147,174,0.123242,0.255243,-51.715988,3,4
7,147,235,0.066135,0.251608,-73.715038,4,3
7,147,245,0.166188,0.246055,-32.458920,5,2
7,147,141,0.062011,0.239748,-74.135023,6,1
7,147,147,0.053624,0.223677,-76.026169,7,0
7,147,forget,0.030102,0.020667,45.653285,0,-1
8,276,247,0.101050,0.324057,-68.817122,1,7
8,276,76,0.167547,0.297374,-43.657862,2,6
8,276,174,0.153740,0.255243,-39.767140,3,5
8,276,235,0.091623,0.251608,-63.584863,4,4
8,276,245,0.175033,0.246055,-28.864196,5,3
8,276,141,0.109900,0.239748,-54.160204,6,2
8,276,147,0.064898,0.223677,-70.985804,7,1
8,276,276,0.028784,0.242620,-88.135975,8,0
8,276,forget,0.037876,0.020667,83.270497,0,-1
9,309,247,0.143739,0.324057,-55.643967,1,8
9,309,76,0.161627,0.297374,-45.648705,2,7
9,309,174,0.112172,0.255243,-56.052755,3,6
9,309,235,0.085341,0.251608,-66.081770,4,5
9,309,245,0.173559,0.246055,-29.463451,5,4
9,309,141,0.084518,0.239748,-64.747122,6,3
9,309,147,0.098598,0.223677,-55.919613,7,2
9,309,276,0.092373,0.242620,-61.926624,8,1
9,309,309,0.050460,0.175513,-71.249773,9,0
9,309,forget,0.037268,0.020667,80.327010,0,-1
10,177,247,0.103469,0.324057,-68.070632,1,9
10,177,76,0.192987,0.297374,-35.102856,2,8
10,177,174,0.074647,0.255243,-70.754543,3,7
10,177,235,0.097749,0.251608,-61.150430,4,6
10,177,245,0.148440,0.246055,-39.672268,5,5
10,177,141,0.094377,0.239748,-60.635026,6,4
10,177,147,0.107285,0.223677,-52.035578,7,3
10,177,276,0.086368,0.242620,-64.401986,8,2
10,177,309,0.107473,0.175513,-38.766059,9,1
10,177,177,0.036312,0.225269,-83.880767,10,0
10,177,forget,0.033788,0.020667,63.491947,0,-1
