iter,trained_ep,eval_ep,loss,baseline,delta_pct,added_at_iter,age_iters
1,247,247,0.049453,0.324057,-84.739552,1,0
1,247,forget,0.038528,0.020667,86.428120,0,-1
2,76,247,0.082518,0.324057,-74.535860,1,1
2,76,76,0.080696,0.297374,-72.863781,2,0
2,76,forget,0.044893,0.020667,117.225035,0,-1
3,174,247,0.063292,0.324057,-80.468729,1,2
3,174,76,0.093132,0.297374,-68.682041,2,1
3,174,174,0.047106,0.255243,-81.544742,3,0
3,174,forget,0.035528,0.020667,71.909230,0,-1
4,235,247,0.060506,0.324057,-81.328532,1,3
4,235,76,0.076925,0.297374,-74.131829,2,2
4,235,174,0.051594,0.255243,-79.786224,3,1
4,235,235,0.040170,0.251608,-84.034834,4,0
4,235,forget,0.035063,0.020667,69.661617,0,-1
5,245,247,0.063030,0.324057,-80.549796,1,4
5,245,76,0.098045,0.297374,-67.029850,2,3
5,245,174,0.072084,0.255243,-71.758680,3,2
5,245,235,0.033404,0.251608,-86.723755,4,1
5,245,245,0.073973,0.246055,-69.936490,5,0
5,245,forget,0.034869,0.020667,68.720399,0,-1
6,141,247,0.058600,0.324057,-81.916672,1,5
6,141,76,0.092356,0.297374,-68.942814,2,4
6,141,174,0.047294,0.255243,-81.470827,3,3
6,141,235,0.031317,0.251608,-87.553162,4,2
6,141,245,0.074361,0.246055,-69.778680,5,1
6,141,141,0.054365,0.239748,-77.324050,6,0
6,141,forget,0.032047,0.020667,55.063715,0,-1
7,147,247,0.068148,0.324057,-78.970287,1,6
7,147,76,0.088073,0.297374,-70.383035,2,5
7,147,174,0.065524,0.255243,-74.328964,3,4
7,147,235,0.032259,0.251608,-87.178809,4,3
7,147,245,0.104092,0.246055,-57.695577,5,2
7,147,141,0.050837,0.239748,-78.795808,6,1
7,147,147,0.054797,0.223677,-75.501796,7,0
7,147,forget,0.028385,0.020667,37.345529,0,-1
8,276,247,0.063619,0.324057,-80.368067,1,7
8,276,76,0.076589,0.297374,-74.244762,2,6
8,276,174,0.061200,0.255243,-76.022857,3,5
8,276,235,0.053620,0.251608,-78.689086,4,4
8,276,245,0.082289,0.246055,-66.556786,5,3
8,276,141,0.059230,0.239748,-75.294778,6,2
8,276,147,0.043516,0.223677,-80.545375,7,1
8,276,276,0.031225,0.242620,-87.130253,8,0
8,276,forget,0.035407,0.020667,71.324879,0,-1
9,309,247,0.075638,0.324057,-76.659019,1,8
9,309,76,0.078330,0.297374,-73.659523,2,7
9,309,174,0.054582,0.255243,-78.615844,3,6
9,309,235,0.033346,0.251608,-86.746712,4,5
9,309,245,0.075463,0.246055,-69.330894,5,4
9,309,141,0.055024,0.239748,-77.049255,6,3
9,309,147,0.058520,0.223677,-73.837077,7,2
9,309,276,0.050958,0.242620,-78.996919,8,1
9,309,309,0.048788,0.175513,-72.202518,9,0
9,309,forget,0.031411,0.020667,51.989235,0,-1
10,177,247,0.055710,0.324057,-82.808701,1,9
10,177,76,0.085735,0.297374,-71.169147,2,8
10,177,174,0.049995,0.255243,-80.412746,3,7
10,177,235,0.042607,0.251608,-83.066234,4,6
10,177,245,0.089931,0.246055,-63.450765,5,5
10,177,141,0.072466,0.239748,-69.773989,6,4
10,177,147,0.072235,0.223677,-67.705760,7,3
10,177,276,0.046890,0.242620,-80.673332,8,2
10,177,309,0.049600,0.175513,-71.739914,9,1
10,177,177,0.037531,0.225269,-83.339311,10,0
10,177,forget,0.030034,0.020667,45.327562,0,-1
