iter,trained_ep,eval_ep,loss,baseline,delta_pct,added_at_iter,age_iters
1,247,247,0.051514,0.324057,-84.103274,1,0
1,247,forget,0.037872,0.020152,87.937798,0,-1
2,76,247,0.068373,0.324057,-78.900995,1,1
2,76,76,0.084226,0.297374,-71.676835,2,0
2,76,forget,0.037350,0.020152,85.346332,0,-1
3,174,247,0.058402,0.324057,-81.977991,1,2
3,174,76,0.092803,0.297374,-68.792357,2,1
3,174,174,0.036377,0.255243,-85.747931,3,0
3,174,forget,0.038180,0.020152,89.463097,0,-1
4,235,247,0.054290,0.324057,-83.246736,1,3
4,235,76,0.090042,0.297374,-69.720815,2,2
4,235,174,0.055477,0.255243,-78.265151,3,1
4,235,235,0.020690,0.251608,-91.776860,4,0
4,235,forget,0.030534,0.020152,51.519646,0,-1
5,245,247,0.056206,0.324057,-82.655441,1,4
5,245,76,0.080575,0.297374,-72.904420,2,3
5,245,174,0.050887,0.255243,-80.063301,3,2
5,245,235,0.035322,0.251608,-85.961292,4,1
5,245,245,0.051518,0.246055,-79.062400,5,0
5,245,forget,0.030201,0.020152,49.867140,0,-1
6,27,247,0.057612,0.324057,-82.221481,1,5
6,27,76,0.088382,0.297374,-70.279258,2,4
6,27,174,0.045342,0.255243,-82.235797,3,3
6,27,235,0.045706,0.251608,-81.834463,4,2
6,27,245,0.078484,0.246055,-68.103219,5,1
6,27,27,0.054102,0.265995,-79.660484,6,0
6,27,forget,0.032576,0.020152,61.655999,0,-1
7,141,247,0.057879,0.324057,-82.139160,1,6
7,141,76,0.086965,0.297374,-70.755633,2,5
7,141,174,0.046447,0.255243,-81.802776,3,4
7,141,235,0.040286,0.251608,-83.988607,4,3
7,141,245,0.062307,0.246055,-74.677832,5,2
7,141,27,0.064228,0.265995,-75.853575,6,1
7,141,141,0.038123,0.244327,-84.396751,7,0
7,141,forget,0.035156,0.020152,74.459869,0,-1
8,147,247,0.069571,0.324057,-78.531082,1,7
8,147,76,0.088002,0.297374,-70.407105,2,6
8,147,174,0.065139,0.255243,-74.479682,3,5
8,147,235,0.049114,0.251608,-80.479809,4,4
8,147,245,0.068921,0.246055,-71.989750,5,3
8,147,27,0.075534,0.265995,-71.603160,6,2
8,147,141,0.052766,0.244327,-78.403655,7,1
8,147,147,0.050192,0.198697,-74.739558,8,0
8,147,forget,0.031894,0.020152,58.270220,0,-1
9,276,247,0.066885,0.324057,-79.359979,1,8
9,276,76,0.077914,0.297374,-73.799278,2,7
9,276,174,0.053412,0.255243,-79.074261,3,6
9,276,235,0.043762,0.251608,-82.606927,4,5
9,276,245,0.083109,0.246055,-66.223554,5,4
9,276,27,0.073280,0.265995,-72.450732,6,3
9,276,141,0.062270,0.244327,-74.513650,7,2
9,276,147,0.045865,0.198697,-76.917264,8,1
9,276,276,0.045409,0.206509,-78.011286,9,0
9,276,forget,0.031744,0.020152,57.524252,0,-1
10,309,247,0.065048,0.324057,-79.926970,1,9
10,309,76,0.084516,0.297374,-71.579332,2,8
10,309,174,0.052814,0.255243,-79.308402,3,7
10,309,235,0.067434,0.251608,-73.198858,4,6
10,309,245,0.063026,0.246055,-74.385528,5,5
10,309,27,0.081497,0.265995,-69.361370,6,4
10,309,141,0.055111,0.244327,-77.443775,7,3
10,309,147,0.056172,0.198697,-71.729606,8,2
10,309,276,0.048674,0.206509,-76.430128,9,1
10,309,309,0.026469,0.184420,-85.647496,10,0
10,309,forget,0.028525,0.020152,41.551150,0,-1
11,177,247,0.055264,0.324057,-82.946072,1,10
11,177,76,0.083468,0.297374,-71.931537,2,9
11,177,174,0.058687,0.255243,-77.007398,3,8
11,177,235,0.037461,0.251608,-85.111463,4,7
11,177,245,0.077050,0.246055,-68.685970,5,6
11,177,27,0.081489,0.265995,-69.364474,6,5
11,177,141,0.055672,0.244327,-77.214152,7,4
11,177,147,0.052266,0.198697,-73.695724,8,3
11,177,276,0.050869,0.206509,-75.367098,9,2
11,177,309,0.043292,0.184420,-76.525045,10,1
11,177,177,0.047627,0.289985,-83.576107,11,0
11,177,forget,0.036880,0.020152,83.013785,0,-1
12,209,247,0.058404,0.324057,-81.977335,1,11
12,209,76,0.082008,0.297374,-72.422557,2,10
12,209,174,0.052404,0.255243,-79.469120,3,9
12,209,235,0.052746,0.251608,-79.036501,4,8
12,209,245,0.080004,0.246055,-67.485493,5,7
12,209,27,0.069467,0.265995,-73.884020,6,6
12,209,141,0.058883,0.244327,-75.899926,7,5
12,209,147,0.053064,0.198697,-73.294138,8,4
12,209,276,0.044512,0.206509,-78.445462,9,3
12,209,309,0.065366,0.184420,-64.555673,10,2
12,209,177,0.048159,0.289985,-83.392535,11,1
12,209,209,0.029012,0.309657,-90.630874,12,0
12,209,forget,0.031908,0.020152,58.337577,0,-1
13,149,247,0.082756,0.324057,-74.462437,1,12
13,149,76,0.092015,0.297374,-69.057437,2,11
13,149,174,0.056989,0.255243,-77.672808,3,10
13,149,235,0.045377,0.251608,-81.965109,4,9
13,149,245,0.077548,0.246055,-68.483559,5,8
13,149,27,0.074933,0.265995,-71.829041,6,7
13,149,141,0.051023,0.244327,-79.116903,7,6
13,149,147,0.064894,0.198697,-67.339945,8,5
13,149,276,0.047724,0.206509,-76.890201,9,4
13,149,309,0.049813,0.184420,-72.989555,10,3
13,149,177,0.079707,0.289985,-72.513567,11,2
13,149,209,0.040549,0.309657,-86.905198,12,1
13,149,149,0.061179,0.222820,-72.543406,13,0
13,149,forget,0.034903,0.020152,73.204017,0,-1
14,122,247,0.072546,0.324057,-77.613255,1,13
14,122,76,0.084489,0.297374,-71.588265,2,12
14,122,174,0.054491,0.255243,-78.651413,3,11
14,122,235,0.069789,0.251608,-72.262793,4,10
14,122,245,0.084346,0.246055,-65.720838,5,9
14,122,27,0.064969,0.265995,-75.575046,6,8
14,122,141,0.054105,0.244327,-77.855600,7,7
14,122,147,0.069096,0.198697,-65.225580,8,6
14,122,276,0.045832,0.206509,-77.806434,9,5
14,122,309,0.051710,0.184420,-71.960857,10,4
14,122,177,0.057822,0.289985,-80.060409,11,3
14,122,209,0.053567,0.309657,-82.701312,12,2
14,122,149,0.055054,0.222820,-75.292309,13,1
14,122,122,0.046611,0.208075,-77.599167,14,0
14,122,forget,0.032454,0.020152,61.048702,0,-1
15,106,247,0.056785,0.324057,-82.476759,1,14
15,106,76,0.079250,0.297374,-73.349902,2,13
15,106,174,0.063222,0.255243,-75.230529,3,12
15,106,235,0.056447,0.251608,-77.565370,4,11
15,106,245,0.069387,0.246055,-71.800108,5,10
15,106,27,0.079115,0.265995,-70.256816,6,9
15,106,141,0.042120,0.244327,-82.760723,7,8
15,106,147,0.066224,0.198697,-66.670647,8,7
15,106,276,0.040261,0.206509,-80.503904,9,6
15,106,309,0.055706,0.184420,-69.793874,10,5
15,106,177,0.042887,0.289985,-85.210787,11,4
15,106,209,0.041393,0.309657,-86.632621,12,3
15,106,149,0.062469,0.222820,-71.964403,13,2
15,106,122,0.067986,0.208075,-67.326228,14,1
15,106,106,0.041186,0.235061,-82.478742,15,0
15,106,forget,0.030517,0.020152,51.438123,0,-1
16,269,247,0.064575,0.324057,-80.073008,1,15
16,269,76,0.081162,0.297374,-72.706968,2,14
16,269,174,0.064332,0.255243,-74.795924,3,13
16,269,235,0.041477,0.251608,-83.515103,4,12
16,269,245,0.093340,0.246055,-62.065355,5,11
16,269,27,0.063612,0.265995,-76.085134,6,10
16,269,141,0.045370,0.244327,-81.430693,7,9
16,269,147,0.056950,0.198697,-71.338074,8,8
16,269,276,0.066507,0.206509,-67.794896,9,7
16,269,309,0.047581,0.184420,-74.199435,10,6
16,269,177,0.040779,0.289985,-85.937586,11,5
16,269,209,0.045879,0.309657,-85.183860,12,4
16,269,149,0.079388,0.222820,-64.371151,13,3
16,269,122,0.079654,0.208075,-61.718754,14,2
16,269,106,0.060510,0.235061,-74.257791,15,1
16,269,269,0.026547,0.204388,-87.011292,16,0
16,269,forget,0.029555,0.020152,46.665379,0,-1
17,164,247,0.072193,0.324057,-77.722162,1,16
17,164,76,0.139722,0.297374,-53.014855,2,15
17,164,174,0.058516,0.255243,-77.074264,3,14
17,164,235,0.075196,0.251608,-70.113629,4,13
17,164,245,0.079108,0.246055,-67.849339,5,12
17,164,27,0.058438,0.265995,-78.030317,6,11
17,164,141,0.048164,0.244327,-80.287100,7,10
17,164,147,0.055064,0.198697,-72.287144,8,9
17,164,276,0.051271,0.206509,-75.172350,9,8
17,164,309,0.047444,0.184420,-74.273880,10,7
17,164,177,0.041650,0.289985,-85.637087,11,6
17,164,209,0.050193,0.309657,-83.790633,12,5
17,164,149,0.046890,0.222820,-78.955990,13,4
17,164,122,0.072104,0.208075,-65.346979,14,3
17,164,106,0.071552,0.235061,-69.560443,15,2
17,164,269,0.045563,0.204388,-77.707687,16,1
17,164,164,0.043629,0.285251,-84.705046,17,0
17,164,forget,0.027924,0.020152,38.570198,0,-1
18,51,247,0.061287,0.324057,-81.087448,1,17
18,51,76,0.073242,0.297374,-75.370569,2,16
18,51,174,0.053059,0.255243,-79.212273,3,15
18,51,235,0.042106,0.251608,-83.265268,4,14
18,51,245,0.066087,0.246055,-73.141246,5,13
18,51,27,0.084802,0.265995,-68.119143,6,12
18,51,141,0.062913,0.244327,-74.250686,7,11
18,51,147,0.059240,0.198697,-70.185699,8,10
18,51,276,0.042247,0.206509,-79.542235,9,9
18,51,309,0.044297,0.184420,-75.980586,10,8
18,51,177,0.050830,0.289985,-82.471423,11,7
18,51,209,0.072220,0.309657,-76.677464,12,6
18,51,149,0.070592,0.222820,-68.319052,13,5
18,51,122,0.065297,0.208075,-68.618460,14,4
18,51,106,0.068516,0.235061,-70.851976,15,3
18,51,269,0.046034,0.204388,-77.476964,16,2
18,51,164,0.060592,0.285251,-78.758253,17,1
18,51,51,0.036822,0.187272,-80.337870,18,0
18,51,forget,0.032485,0.020152,61.203579,0,-1
19,308,247,0.047240,0.324057,-85.422406,1,18
19,308,76,0.076035,0.297374,-74.431065,2,17
19,308,174,0.046510,0.255243,-81.778009,3,16
19,308,235,0.028363,0.251608,-88.727280,4,15
19,308,245,0.070664,0.246055,-71.281154,5,14
19,308,27,0.061772,0.265995,-76.776875,6,13
19,308,141,0.059037,0.244327,-75.837024,7,12
19,308,147,0.052009,0.198697,-73.824704,8,11
19,308,276,0.049030,0.206509,-76.257893,9,10
19,308,309,0.046683,0.184420,-74.686512,10,9
19,308,177,0.051146,0.289985,-82.362503,11,8
19,308,209,0.032611,0.309657,-89.468605,12,7
19,308,149,0.073286,0.222820,-67.109843,13,6
19,308,122,0.076214,0.208075,-63.371670,14,5
19,308,106,0.066636,0.235061,-71.651560,15,4
19,308,269,0.053035,0.204388,-74.051669,16,3
19,308,164,0.040116,0.285251,-85.936615,17,2
19,308,51,0.059614,0.187272,-68.166887,18,1
19,308,308,0.024603,0.209464,-88.254080,19,0
19,308,forget,0.030791,0.020152,52.798175,0,-1
20,167,247,0.069813,0.324057,-78.456612,1,19
20,167,76,0.075448,0.297374,-74.628428,2,18
20,167,174,0.043861,0.255243,-82.816193,3,17
20,167,235,0.035052,0.251608,-86.068981,4,16
20,167,245,0.078155,0.246055,-68.236692,5,15
20,167,27,0.075235,0.265995,-71.715811,6,14
20,167,141,0.053138,0.244327,-78.251402,7,13
20,167,147,0.050651,0.198697,-74.508122,8,12
20,167,276,0.048560,0.206509,-76.485451,9,11
20,167,309,0.044161,0.184420,-76.054080,10,10
20,167,177,0.035152,0.289985,-87.877848,11,9
20,167,209,0.060660,0.309657,-80.410449,12,8
20,167,149,0.065961,0.222820,-70.397107,13,7
20,167,122,0.075133,0.208075,-63.891284,14,6
20,167,106,0.067340,0.235061,-71.351999,15,5
20,167,269,0.053374,0.204388,-73.885871,16,4
20,167,164,0.041784,0.285251,-85.351901,17,3
20,167,51,0.054944,0.187272,-70.660775,18,2
20,167,308,0.025716,0.209464,-87.722901,19,1
20,167,167,0.034709,0.174749,-80.137780,20,0
20,167,forget,0.027429,0.020152,36.111041,0,-1
21,303,247,0.082707,0.324057,-74.477660,1,20
21,303,76,0.064304,0.297374,-78.376002,2,19
21,303,174,0.053607,0.255243,-78.997827,3,18
21,303,235,0.038637,0.251608,-84.643965,4,17
21,303,245,0.073857,0.246055,-69.983706,5,16
21,303,27,0.067935,0.265995,-74.459896,6,15
21,303,141,0.056470,0.244327,-76.887511,7,14
21,303,147,0.059579,0.198697,-70.015164,8,13
21,303,276,0.057157,0.206509,-72.322156,9,12
21,303,309,0.043577,0.184420,-76.370717,10,11
21,303,177,0.041433,0.289985,-85.712001,11,10
21,303,209,0.057333,0.309657,-81.484904,12,9
21,303,149,0.059143,0.222820,-73.457317,13,8
21,303,122,0.079716,0.208075,-61.688729,14,7
21,303,106,0.062504,0.235061,-73.409474,15,6
21,303,269,0.054727,0.204388,-73.224099,16,5
21,303,164,0.040857,0.285251,-85.676661,17,4
21,303,51,0.054638,0.187272,-70.824444,18,3
21,303,308,0.054126,0.209464,-74.159814,19,2
21,303,167,0.035775,0.174749,-79.527984,20,1
21,303,303,0.050555,0.215074,-76.494036,21,0
21,303,forget,0.027591,0.020152,36.917539,0,-1
22,270,247,0.063101,0.324057,-80.527646,1,21
22,270,76,0.072923,0.297374,-75.477790,2,20
22,270,174,0.060612,0.255243,-76.253427,3,19
22,270,235,0.038602,0.251608,-84.657881,4,18
22,270,245,0.056585,0.246055,-77.003323,5,17
22,270,27,0.063528,0.265995,-76.116813,6,16
22,270,141,0.070384,0.244327,-71.192870,7,15
22,270,147,0.073323,0.198697,-63.098094,8,14
22,270,276,0.038000,0.206509,-81.598662,9,13
22,270,309,0.033228,0.184420,-81.982377,10,12
22,270,177,0.030934,0.289985,-89.332609,11,11
22,270,209,0.041012,0.309657,-86.755547,12,10
22,270,149,0.063138,0.222820,-71.664023,13,9
22,270,122,0.066697,0.208075,-67.945709,14,8
22,270,106,0.094663,0.235061,-59.728425,15,7
22,270,269,0.040759,0.204388,-80.057856,16,6
22,270,164,0.054934,0.285251,-80.741861,17,5
22,270,51,0.064251,0.187272,-65.691167,18,4
22,270,308,0.035097,0.209464,-83.244430,19,3
22,270,167,0.046724,0.174749,-73.261879,20,2
22,270,303,0.031772,0.215074,-85.227397,21,1
22,270,270,0.039446,0.179518,-78.026722,22,0
22,270,forget,0.034406,0.020152,70.735447,0,-1
23,119,247,0.055882,0.324057,-82.755582,1,22
23,119,76,0.070283,0.297374,-76.365581,2,21
23,119,174,0.063937,0.255243,-74.950424,3,20
23,119,235,0.042553,0.251608,-83.087395,4,19
23,119,245,0.073133,0.246055,-70.277803,5,18
23,119,27,0.076726,0.265995,-71.154987,6,17
23,119,141,0.047054,0.244327,-80.741253,7,16
23,119,147,0.068078,0.198697,-65.737694,8,15
23,119,276,0.045538,0.206509,-77.948509,9,14
23,119,309,0.038360,0.184420,-79.199638,10,13
23,119,177,0.042083,0.289985,-85.488019,11,12
23,119,209,0.039089,0.309657,-87.376632,12,11
23,119,149,0.071419,0.222820,-67.947642,13,10
23,119,122,0.088534,0.208075,-57.451017,14,9
23,119,106,0.059514,0.235061,-74.681686,15,8
23,119,269,0.049321,0.204388,-75.869026,16,7
23,119,164,0.038247,0.285251,-86.591644,17,6
23,119,51,0.065102,0.187272,-65.236537,18,5
23,119,308,0.038458,0.209464,-81.639859,19,4
23,119,167,0.038303,0.174749,-78.081086,20,3
23,119,303,0.036643,0.215074,-82.962380,21,2
23,119,270,0.046109,0.179518,-74.315410,22,1
23,119,119,0.040115,0.201180,-80.059906,23,0
23,119,forget,0.029178,0.020152,44.793173,0,-1
24,13,247,0.065760,0.324057,-79.707351,1,23
24,13,76,0.079848,0.297374,-73.148944,2,22
24,13,174,0.054667,0.255243,-78.582521,3,21
24,13,235,0.038329,0.251608,-84.766239,4,20
24,13,245,0.069962,0.246055,-71.566410,5,19
24,13,27,0.062819,0.265995,-76.383566,6,18
24,13,141,0.057135,0.244327,-76.615460,7,17
24,13,147,0.052807,0.198697,-73.423339,8,16
24,13,276,0.041019,0.206509,-80.137040,9,15
24,13,309,0.069410,0.184420,-62.363285,10,14
24,13,177,0.064609,0.289985,-77.719796,11,13
24,13,209,0.051107,0.309657,-83.495435,12,12
24,13,149,0.060183,0.222820,-72.990415,13,11
24,13,122,0.071118,0.208075,-65.820978,14,10
24,13,106,0.059109,0.235061,-74.853592,15,9
24,13,269,0.046960,0.204388,-77.024103,16,8
24,13,164,0.052256,0.285251,-81.680692,17,7
24,13,51,0.054004,0.187272,-71.162746,18,6
24,13,308,0.039109,0.209464,-81.329159,19,5
24,13,167,0.042685,0.174749,-75.573552,20,4
24,13,303,0.052285,0.215074,-75.689886,21,3
24,13,270,0.056520,0.179518,-68.515837,22,2
24,13,119,0.040789,0.201180,-79.725215,23,1
24,13,13,0.055071,0.162966,-66.206994,24,0
24,13,forget,0.030169,0.020152,49.708841,0,-1
25,123,247,0.060728,0.324057,-81.260082,1,24
25,123,76,0.097185,0.297374,-67.318910,2,23
25,123,174,0.049414,0.255243,-80.640369,3,22
25,123,235,0.050733,0.251608,-79.836535,4,21
25,123,245,0.083148,0.246055,-66.207592,5,20
25,123,27,0.067136,0.265995,-74.760275,6,19
25,123,141,0.063068,0.244327,-74.187211,7,18
25,123,147,0.054142,0.198697,-72.751223,8,17
25,123,276,0.053816,0.206509,-73.940278,9,16
25,123,309,0.036629,0.184420,-80.138108,10,15
25,123,177,0.035795,0.289985,-87.656271,11,14
25,123,209,0.050400,0.309657,-83.723853,12,13
25,123,149,0.052404,0.222820,-76.481505,13,12
25,123,122,0.051382,0.208075,-75.305868,14,11
25,123,106,0.063259,0.235061,-73.088099,15,10
25,123,269,0.041672,0.204388,-79.611304,16,9
25,123,164,0.051962,0.285251,-81.783864,17,8
25,123,51,0.058654,0.187272,-68.679520,18,7
25,123,308,0.032515,0.209464,-84.477023,19,6
25,123,167,0.047833,0.174749,-72.627310,20,5
25,123,303,0.042082,0.215074,-80.433792,21,4
25,123,270,0.047727,0.179518,-73.413734,22,3
25,123,119,0.045391,0.201180,-77.437554,23,2
25,123,13,0.038749,0.162966,-76.222631,24,1
25,123,123,0.019119,0.165192,-88.426438,25,0
25,123,forget,0.031592,0.020152,56.771646,0,-1
26,53,247,0.062706,0.324057,-80.649643,1,25
26,53,76,0.120214,0.297374,-59.574912,2,24
26,53,174,0.063354,0.255243,-75.178999,3,23
26,53,235,0.064123,0.251608,-74.514735,4,22
26,53,245,0.078520,0.246055,-68.088489,5,21
26,53,27,0.053960,0.265995,-79.714085,6,20
26,53,141,0.047078,0.244327,-80.731726,7,19
26,53,147,0.061718,0.198697,-68.938414,8,18
26,53,276,0.048408,0.206509,-76.558720,9,17
26,53,309,0.107655,0.184420,-41.625133,10,16
26,53,177,0.063993,0.289985,-77.932224,11,15
26,53,209,0.040552,0.309657,-86.904236,12,14
26,53,149,0.089002,0.222820,-60.056813,13,13
26,53,122,0.068679,0.208075,-66.993186,14,12
26,53,106,0.057989,0.235061,-75.330346,15,11
26,53,269,0.053850,0.204388,-73.653254,16,10
26,53,164,0.039871,0.285251,-86.022495,17,9
26,53,51,0.054692,0.187272,-70.795585,18,8
26,53,308,0.033691,0.209464,-83.915688,19,7
26,53,167,0.042785,0.174749,-75.516274,20,6
26,53,303,0.035189,0.215074,-83.638494,21,5
26,53,270,0.056986,0.179518,-68.256357,22,4
26,53,119,0.054113,0.201180,-73.102019,23,3
26,53,13,0.086469,0.162966,-46.940481,24,2
26,53,123,0.036095,0.165192,-78.149907,25,1
26,53,53,0.030984,0.185485,-83.295953,26,0
26,53,forget,0.032049,0.020152,59.038857,0,-1
27,281,247,0.067352,0.324057,-79.215870,1,26
27,281,76,0.074934,0.297374,-74.801365,2,25
