iter,trained_ep,eval_ep,loss,baseline,delta_pct,added_at_iter,age_iters
1,247,247,0.085149,0.320589,-73.439730,1,0
1,247,forget,0.041365,0.020354,103.233771,0,-1
2,76,247,0.089080,0.320589,-72.213802,1,1
2,76,76,0.112799,0.347822,-67.569810,2,0
2,76,forget,0.043205,0.020354,112.271504,0,-1
3,174,247,0.076017,0.320589,-76.288483,1,2
3,174,76,0.101739,0.347822,-70.749665,2,1
3,174,174,0.058588,0.250575,-76.618522,3,0
3,174,forget,0.039696,0.020354,95.030476,0,-1
4,235,247,0.074037,0.320589,-76.905908,1,3
4,235,76,0.110725,0.347822,-68.166078,2,2
4,235,174,0.066607,0.250575,-73.418283,3,1
4,235,235,0.051212,0.229915,-77.725687,4,0
4,235,forget,0.034486,0.020354,69.431648,0,-1
5,245,247,0.069858,0.320589,-78.209486,1,4
5,245,76,0.095005,0.347822,-72.685692,2,3
5,245,174,0.073372,0.250575,-70.718613,3,2
5,245,235,0.048253,0.229915,-79.012789,4,1
5,245,245,0.068611,0.287889,-76.167400,5,0
5,245,forget,0.033543,0.020354,64.799348,0,-1
6,27,247,0.073997,0.320589,-76.918448,1,5
6,27,76,0.106629,0.347822,-69.343703,2,4
6,27,174,0.056202,0.250575,-77.570812,3,3
6,27,235,0.055622,0.229915,-75.807827,4,2
6,27,245,0.100738,0.287889,-65.008053,5,1
6,27,27,0.062817,0.258215,-75.672755,6,0
6,27,forget,0.030787,0.020354,51.261163,0,-1
7,141,247,0.072078,0.320589,-77.516967,1,6
7,141,76,0.102947,0.347822,-70.402366,2,5
7,141,174,0.080244,0.250575,-67.975922,3,4
7,141,235,0.036563,0.229915,-84.097396,4,3
7,141,245,0.094033,0.287889,-67.336908,5,2
7,141,27,0.077163,0.258215,-70.116930,6,1
7,141,141,0.045011,0.223581,-79.868180,7,0
7,141,forget,0.032178,0.020354,58.092094,0,-1
8,147,247,0.063018,0.320589,-80.343215,1,7
8,147,76,0.114547,0.347822,-67.067230,2,6
8,147,174,0.066167,0.250575,-73.593901,3,5
8,147,235,0.041146,0.229915,-82.103698,4,4
8,147,245,0.089482,0.287889,-68.917739,5,3
8,147,27,0.093024,0.258215,-63.974407,6,2
8,147,141,0.078991,0.223581,-64.670126,7,1
8,147,147,0.066014,0.225100,-70.673604,8,0
8,147,forget,0.030030,0.020354,47.541991,0,-1
9,276,247,0.074972,0.320589,-76.614333,1,8
9,276,76,0.123866,0.347822,-64.388203,2,7
9,276,174,0.069728,0.250575,-72.172963,3,6
9,276,235,0.037225,0.229915,-83.809086,4,5
9,276,245,0.111783,0.287889,-61.171583,5,4
9,276,27,0.075141,0.258215,-70.899860,6,3
9,276,141,0.058005,0.223581,-74.056340,7,2
9,276,147,0.065512,0.225100,-70.896484,8,1
9,276,276,0.026419,0.199581,-86.762755,9,0
9,276,forget,0.035249,0.020354,73.182799,0,-1
10,309,247,0.075453,0.320589,-76.464442,1,9
10,309,76,0.109733,0.347822,-68.451520,2,8
10,309,174,0.064771,0.250575,-74.150859,3,7
10,309,235,0.054987,0.229915,-76.083981,4,6
10,309,245,0.103153,0.287889,-64.169117,5,5
10,309,27,0.071084,0.258215,-72.470953,6,4
10,309,141,0.063818,0.223581,-71.456290,7,3
10,309,147,0.066417,0.225100,-70.494382,8,2
10,309,276,0.049048,0.199581,-75.424633,9,1
10,309,309,0.039265,0.184026,-78.663192,10,0
10,309,forget,0.031981,0.020354,57.126371,0,-1
11,177,247,0.063039,0.320589,-80.336599,1,10
11,177,76,0.119582,0.347822,-65.619787,2,9
11,177,174,0.059232,0.250575,-76.361509,3,8
11,177,235,0.034942,0.229915,-84.802392,4,7
11,177,245,0.117745,0.287889,-59.100529,5,6
11,177,27,0.087338,0.258215,-66.176114,6,5
11,177,141,0.056768,0.223581,-74.609738,7,4
11,177,147,0.067250,0.225100,-70.124491,8,3
11,177,276,0.046997,0.199581,-76.452373,9,2
11,177,309,0.058812,0.184026,-68.041602,10,1
11,177,177,0.041544,0.215055,-80.682116,11,0
11,177,forget,0.032139,0.020354,57.904430,0,-1
12,209,247,0.065248,0.320589,-79.647385,1,11
12,209,76,0.106400,0.347822,-69.409753,2,10
12,209,174,0.055261,0.250575,-77.946358,3,9
12,209,235,0.042299,0.229915,-81.602476,4,8
12,209,245,0.092039,0.287889,-68.029534,5,7
12,209,27,0.069991,0.258215,-72.894316,6,6
12,209,141,0.055054,0.223581,-75.376476,7,5
12,209,147,0.071264,0.225100,-68.341232,8,4
12,209,276,0.052277,0.199581,-73.806719,9,3
12,209,309,0.058851,0.184026,-68.020210,10,2
12,209,177,0.069062,0.215055,-67.886281,11,1
12,209,209,0.035277,0.269557,-86.913128,12,0
12,209,forget,0.031418,0.020354,54.362001,0,-1
13,149,247,0.063768,0.320589,-80.109270,1,12
13,149,76,0.112663,0.347822,-67.608958,2,11
13,149,174,0.069824,0.250575,-72.134420,3,10
13,149,235,0.034389,0.229915,-85.042656,4,9
13,149,245,0.101994,0.287889,-64.571825,5,8
13,149,27,0.068577,0.258215,-73.441921,6,7
13,149,141,0.059025,0.223581,-73.600264,7,6
13,149,147,0.062152,0.225100,-72.389247,8,5
13,149,276,0.058648,0.199581,-70.614625,9,4
13,149,309,0.061973,0.184026,-66.323988,10,3
13,149,177,0.052296,0.215055,-75.682377,11,2
13,149,209,0.044920,0.269557,-83.335506,12,1
13,149,149,0.040295,0.224627,-82.061252,13,0
13,149,forget,0.030868,0.020354,51.657388,0,-1
14,122,247,0.086705,0.320589,-72.954429,1,13
14,122,76,0.097803,0.347822,-71.881221,2,12
14,122,174,0.060682,0.250575,-75.783017,3,11
14,122,235,0.071409,0.229915,-68.941312,4,10
14,122,245,0.093615,0.287889,-67.482278,5,9
14,122,27,0.065701,0.258215,-74.555860,6,8
14,122,141,0.054728,0.223581,-75.522170,7,7
14,122,147,0.101816,0.225100,-54.768537,8,6
14,122,276,0.074871,0.199581,-62.486105,9,5
14,122,309,0.053019,0.184026,-71.189229,10,4
14,122,177,0.060169,0.215055,-72.021408,11,3
14,122,209,0.048779,0.269557,-81.904043,12,2
14,122,149,0.065778,0.224627,-70.716951,13,1
14,122,122,0.068557,0.229030,-70.066543,14,0
